Bmp4_Bmpr1b,Tgfb3_Tgfbr3,Tgfb3_Tgfbr3
Bmp4_Bmpr2,Tgfb3_Acvr1,#N/A
Bmp5_Bmpr1a,Gdf15_Egfr,#N/A
Bmp6_Acvr1,Gdf15_Tgfbr2,#N/A
Bmp6_Acvr2a,Gdf15_Tgfbr1,#N/A
Bmp6_Bmpr1a,Gdf15_Ret,#N/A
Bmp6_Bmpr1b,Gdf15_Gfral,#N/A
Bmp6_Bmpr2,Calr_Lrp1,Calr_Lrp1
Bmp7_Acvr1,Calr_Scarf1,Calr_Scarf1
Bmp7_Acvr2a,Calr_Mpl,#N/A
Bmp7_Acvr2b,Efnb3_Ephb2,Efnb3_Ephb2
Bmp7_Bmpr1a,Efnb3_Epha4,Efnb3_Epha4
Bmp7_Bmpr1b,Efnb3_Ephb3,Efnb3_Ephb3
Bmp7_Bmpr2,Efnb3_Ephb6,#N/A
Bmp7_Eng,Efnb3_Ephb1,#N/A
Bst1_Cav1,Sst_Sstr3,Sst_Sstr3
Btc_Egfr,Sst_Sstr2,Sst_Sstr2
Btc_Erbb2,Sst_Sstr4,Sst_Sstr4
Btc_Erbb3,Sst_Sstr5,Sst_Sstr5
Btc_Erbb4,Sst_Sstr1,Sst_Sstr1
Btla_Cd79a,Pgf_Egfr,#N/A
Btla_Vtcn1,Pgf_Flt1,Pgf_Flt1
C1qa_Cd93,Pgf_Nrp1,Pgf_Nrp1
C1qa_Cspg4,Pgf_Nrp2,Pgf_Nrp2
C1qb_Lrp1,Ccl24_Ccr2,Ccl24_Ccr2
C1qtnf1_Avpr2,Ccl24_Ackr2,#N/A
C1qtnf5_Mfrp,Ccl24_Ccr3,Ccl24_Ccr3
C3_C3ar1,Zp3_Egfr,#N/A
C3_C5ar2,Zp3_Zp3r,#N/A
C3_Cd19,Shbg_Gprc6a,#N/A
C3_Cd46,App_Lrp6,#N/A
C3_Itgam,App_Lrp1,App_Lrp1
C3_Itgax,App_Lrp2,#N/A
C3_Itgb2,App_Cav1,App_Cav1
C3_Lrp1,App_Notch1,#N/A
C4a_C3ar1,App_Cd47,#N/A
C4a_C5ar2,App_Cd74,App_Cd74
C4a_Cd46,App_Trpc6,#N/A
C4b_C3ar1,App_Dcc,#N/A
C4b_C5ar2,App_Lrp8,#N/A
C4b_Cd46,App_Sorcs1,#N/A
Cadm1_Crtam,App_Lrp4,#N/A
Calca_Calcr,App_Casr,#N/A
Calca_Calcrl,App_Tspan12,#N/A
Calca_Ramp1,App_Notch2,#N/A
Calca_Ramp2,App_Lrp10,#N/A
Calcb_Calcr,App_Gpr3,#N/A
Calcb_Calcrl,App_Tspan15,#N/A
Calcb_Ramp1,App_Fpr2,App_Fpr2
Calr_Itga2b,App_Tnfrsf21,App_Tnfrsf21
Calr_Itga3,App_Vldlr,#N/A
Calr_Itgav,App_Adra2a,#N/A
Calr_Lrp1,App_Sorl1,#N/A
Calr_Mtnr1a,App_Drd3,#N/A
Calr_Scarf1,App_Ngfr,#N/A
Calr_Tshr,App_Ncstn,App_Ncstn
Camp_Fpr2,Agrp_Mc5r,Agrp_Mc5r
Cck_Cckar,Agrp_Mc3r,Agrp_Mc3r
Cck_Cckbr,Agrp_Sdc3,Agrp_Sdc3
Ccl1_Ccr8,Tnfsf14_Fas,#N/A
Ccl11_Ackr2,Tnfsf14_Ltbr,Tnfsf14_Ltbr
Ccl11_Ackr4,Tnfsf14_Tnfrsf14,Tnfsf14_Tnfrsf14
Ccl11_Ccr2,Trh_Trhr,Trh_Trhr
Ccl11_Ccr3,Prl7a2_Prlr,#N/A
Ccl11_Ccr5,Prl8a9_Prlr,#N/A
Ccl11_Cxcr3,Prl8a1_Prlr,#N/A
Ccl17_Ccr4,Wnt10a_Fzd10,#N/A
Ccl17_Ccr8,Bmp7_Acvr2b,Bmp7_Acvr2b
Ccl19_Ackr2,Bmp7_Bmpr1b,Bmp7_Bmpr1b
Ccl19_Ackr4,Bmp7_Acvr2a,Bmp7_Acvr2a
Ccl19_Ccr10,Bmp7_Bmpr2,Bmp7_Bmpr2
