ligand,receptor,
Wnt2,FZD3_LRP6,Wnt2_FZD3_LRP6
Wnt2,FZD4_LRP6,Wnt2_FZD4_LRP6
Wnt2,FZD5_LRP6,Wnt2_FZD5_LRP6
Wnt2,FZD6_LRP6,Wnt2_FZD6_LRP6
Wnt2,FZD7_LRP6,Wnt2_FZD7_LRP6
Wnt2,FZD8_LRP6,Wnt2_FZD8_LRP6
Wnt2,FZD9_LRP6,Wnt2_FZD9_LRP6
Wnt2b,FZD1_LRP6,Wnt2b_FZD1_LRP6
Wnt2b,FZD10_LRP6,Wnt2b_FZD10_LRP6
Wnt2b,FZD2_LRP6,Wnt2b_FZD2_LRP6
Wnt2b,FZD3_LRP6,Wnt2b_FZD3_LRP6
Wnt2b,FZD4_LRP6,Wnt2b_FZD4_LRP6
Wnt2b,FZD5_LRP6,Wnt2b_FZD5_LRP6
Wnt2b,FZD6_LRP6,Wnt2b_FZD6_LRP6
Wnt2b,FZD7_LRP6,Wnt2b_FZD7_LRP6
Wnt2b,FZD8_LRP6,Wnt2b_FZD8_LRP6
Wnt2b,FZD9_LRP6,Wnt2b_FZD9_LRP6
Wnt3,FZD1_LRP6,Wnt3_FZD1_LRP6
Wnt3,FZD10_LRP6,Wnt3_FZD10_LRP6
Wnt3,FZD2_LRP6,Wnt3_FZD2_LRP6
Wnt3,FZD3_LRP6,Wnt3_FZD3_LRP6
Wnt3,FZD4_LRP6,Wnt3_FZD4_LRP6
Wnt3,FZD5_LRP6,Wnt3_FZD5_LRP6
Wnt3,FZD6_LRP6,Wnt3_FZD6_LRP6
Wnt3,FZD7_LRP6,Wnt3_FZD7_LRP6
Wnt3,FZD8_LRP6,Wnt3_FZD8_LRP6
Wnt3,FZD9_LRP6,Wnt3_FZD9_LRP6
Wnt3a,FZD1_LRP6,Wnt3a_FZD1_LRP6
Wnt3a,FZD10_LRP6,Wnt3a_FZD10_LRP6
Wnt3a,FZD2_LRP6,Wnt3a_FZD2_LRP6
Wnt3a,FZD3_LRP6,Wnt3a_FZD3_LRP6
Wnt3a,FZD4_LRP6,Wnt3a_FZD4_LRP6
Wnt3a,FZD5_LRP6,Wnt3a_FZD5_LRP6
Wnt3a,FZD6_LRP6,Wnt3a_FZD6_LRP6
Wnt3a,FZD7_LRP6,Wnt3a_FZD7_LRP6
Wnt3a,FZD8_LRP6,Wnt3a_FZD8_LRP6
Wnt3a,FZD9_LRP6,Wnt3a_FZD9_LRP6
Wnt4,FZD1_LRP6,Wnt4_FZD1_LRP6
Wnt4,FZD10_LRP6,Wnt4_FZD10_LRP6
Wnt4,FZD2_LRP6,Wnt4_FZD2_LRP6
Wnt4,FZD3_LRP6,Wnt4_FZD3_LRP6
Wnt4,FZD4_LRP6,Wnt4_FZD4_LRP6
Wnt4,FZD5_LRP6,Wnt4_FZD5_LRP6
Wnt4,FZD6_LRP6,Wnt4_FZD6_LRP6
Wnt4,FZD7_LRP6,Wnt4_FZD7_LRP6
Wnt4,FZD8_LRP6,Wnt4_FZD8_LRP6
Wnt4,FZD9_LRP6,Wnt4_FZD9_LRP6
Wnt6,FZD1_LRP6,Wnt6_FZD1_LRP6
Wnt6,FZD10_LRP6,Wnt6_FZD10_LRP6
Wnt6,FZD2_LRP6,Wnt6_FZD2_LRP6
